Product_ID,Product_Name,Category,Price_IDR,Rating,Review_Count,Discount_%,Shop_Followers,Sold_Quantity
BDM001,Victor BR Bag,Bag,199000,4.4,562,5,61161,2498
BDM002,Li-Ning Tournament Bag,Bag,899000,5,2193,25,24350,6569
BDM003,Victor A970,Shoes,1799000,4.8,1628,5,179678,7994
BDM004,RKEP Overgrip,Grip,5000,5,1646,0,178370,10115
BDM005,Yonex Super Grap,Grip,15000,4.5,2297,30,95835,5469
BDM006,RKEP Overgrip,Grip,5000,4.7,1348,5,34653,6800
BDM007,Li-Ning Tournament Bag,Bag,199000,5,937,0,173893,4656
BDM008,Yonex BG80,String,25000,4.8,1119,0,166478,7382
BDM009,RSL Classic,Shuttlecock,199000,4.5,1112,5,15322,4101
BDM010,Victor A970,Shoes,1299000,4.9,1951,0,15432,5916
BDM011,Yonex BG65,String,89000,4.8,757,0,33402,3744
BDM012,Mizuno Wave Fang,Shoes,399000,4.5,2629,10,147853,11943
BDM013,Yonex Aerosensa 20,Shuttlecock,149000,4.4,2379,0,178618,7307
BDM014,Yonex Arcsaber 11 Play,Racket,399000,4.8,2464,10,105421,9273
BDM015,Yonex Aerosensa 20,Shuttlecock,79000,4.2,1607,15,98578,6602
BDM016,Yonex BG65,String,119000,4.6,2057,10,28521,5660
BDM017,Yonex BG65,String,69000,4.6,4164,0,115651,9483
BDM018,Yonex Aerosensa 20,Shuttlecock,129000,4.7,1868,30,125868,8229
BDM019,Li-Ning A+60,Shuttlecock,79000,4.6,2228,20,100141,5354
BDM020,Yonex Aerosensa 20,Shuttlecock,149000,4.6,1775,0,51466,5114
BDM021,Li-Ning No.1 String,String,35000,4.8,1658,15,91380,5359
BDM022,Victor Thruster K12,Racket,499000,4.4,3826,20,134785,10216
BDM023,Yonex BG80,String,69000,5,2535,10,140006,5636
BDM024,Yonex Aerosensa 20,Shuttlecock,59000,4.2,2082,10,110054,6164
BDM025,Li-Ning No.1 String,String,89000,4.6,2101,0,51656,7828
BDM026,Victor A970,Shoes,699000,4.7,2918,0,34477,7204
BDM027,Yonex BG80,String,69000,5,1464,15,47680,5068
BDM028,Yonex BG80,String,35000,4.9,3004,25,150955,9709
BDM029,Li-Ning Tournament Bag,Bag,149000,4.3,1941,25,87241,5245
BDM030,Victor Cushion Grip,Grip,19000,4.6,2222,0,166870,9727
